sub_num,trial_num,trial_type,relation1,relation2,pair1_word1,pair1_word2,pair2_word1,pair2_word2,rating,RT
6,51,between-subtype,7g,7c,carpet,vacuum,surgeon,scalpel,4,14763
6,52,within-subtype,5c,5c,ice,cold,psychotic,insanity,5,8157
6,53,within-subtype,7d,7d,write,paper,mend,clothing,6,14908
6,54,between-subtype,10f,10e,curtain,window,anthropology,people,5,12676
7,1,between-subtype,7f,7e,award,winner,pay,debtor,2,19001
7,2,between-subtype,5f,5h,hot,burn,heal,injured,3,8254
7,3,between-subtype,8g,8c,lotion,moisturize,bulb,flashlight,1,8960
7,4,within-subtype,9c,9c,church,prayer,laboratory,experimenting,4,8463
7,5,between-subtype,9i,9d,neck,necklace,war,weapon,5,8588
7,6,within-subtype,7h,7h,conductor,baton,queen,throne,5,7833
7,7,between-subtype,9a,9b,abbey,nun,restaurant,food,4,9246
7,8,within-subtype,2a,2a,dog,tail,fish,fin,6,5328
7,9,between-type,2a,6c,movie,scene,slavery,freedom,2,5833
7,10,between-subtype,3f,3b,tent,house,happiness,joy,5,5225
7,11,attention check,,,representations,,simultaneously,,1,19680
7,12,between-type,6f,8g,fearless,hide,calculator,add,1,11301
7,13,between-subtype,5c,5a,pacifist,peace,blanket,soft,5,8547
7,14,within-subtype,6b,6b,transparent,opaque,irreparable,fixed,6,6392
7,15,between-subtype,9h,9i,performance,applause,foot,sock,1,8815
7,16,between-subtype,10c,10f,seascape,ocean,bushes,trap,2,6124
7,17,between-subtype,4a,4h,cold,warm,infertility,reproduction,5,5771
7,18,within-subtype,6d,6d,christian,atheist,invincible,defeated,2,7230
7,19,between-type,9h,1a,narrative,epilogue,animal,pig,1,9302
7,20,between-subtype,9b,9h,mine,coal,ingestion,digestion,5,6242
7,21,within-subtype,5b,5b,wooden,burned,fragrant,smelled,5,9549
7,22,attention check,,,hummingbird,,hummingbird,,7,5081
7,23,between-subtype,5h,5i,comfort,hurting,fire,burnt,3,6699
7,24,within-subtype,2g,2g,sock,thread,team,players,6,5889
7,25,between-subtype,5h,5a,drop,slippery,sunburn,painful,6,5291
7,26,between-subtype,5d,5a,illogical,confusion,tycoon,wealthy,6,6692
7,27,within-subtype,3d,3d,persuade,coerce,borrow,take,7,6398
7,28,within-subtype,2d,2d,zoo,animal,carnival,rides,7,6005
7,29,between-subtype,5h,5i,wash,soiled,iron,pressed,5,6144
7,30,within-subtype,8b,8b,loneliness,socialize,pain,medicate,6,5385
7,31,between-subtype,8c,8d,chemical,firework,burnish,shine,5,4824
7,32,between-subtype,2i,2d,worm,feet,hospital,patient,2,7383
7,33,attention check,,,coincidence,,knowledgeable,,1,4664
7,34,within-subtype,4e,4e,windy,calm,free,imprisoned,5,7161
7,35,between-type,9c,8f,church,worship,automobile,transportation,4,7096
7,36,between-type,8a,2e,workout,sweat,showering,soaping,6,6906
7,37,between-subtype,2j,2c,criminal,lawfulness,book,chapter,1,6882
7,38,between-subtype,9a,9c,closet,clothing,kitchen,cooking,6,4886
7,39,within-subtype,6g,6g,perseverate,quickly,whisper,loudly,5,10341
7,40,within-subtype,5a,5a,murderer,evil,water,wet,6,5140
7,41,between-type,2e,9f,therapy,talking,spring,breeze,5,6241
7,42,within-subtype,9e,9e,bank,river,baseboard,wall,6,5636
7,43,within-subtype,6h,6h,polish,tarnished,dress,naked,6,8309
7,44,attention check,,,anthropologist,,anthropologist,,7,5173
7,45,within-subtype,4a,4a,hot,cold,young,old,7,10845
7,46,within-subtype,7f,7f,prescription,patient,ribbon,winner,5,5341
7,47,within-subtype,7f,7f,donation,charity,certificate,teacher,6,4882
7,48,between-subtype,7f,7c,receipt,customer,pitcher,baseball,2,6748
7,49,within-subtype,5a,5a,bigot,hateful,pillow,soft,5,6848
7,50,within-subtype,8h,8h,knowledge,ignorance,money,poverty,5,7145
7,51,within-subtype,10d,10d,strategy,victory,choreography,performance,6,5251
7,52,between-subtype,3g,3b,canoe,kayak,love,adore,5,4970
7,53,between-subtype,5c,5d,psychotic,insanity,emotional,turmoil,6,7154
7,54,within-subtype,1a,1a,vegetable,carrot,dog,chihuahua,7,4872
8,1,within-subtype,5g,5g,sprint,fast,insult,unkind,2,9943
8,2,between-subtype,1e,1a,prince,Charles,appliance,refrigerator,2,19957
8,3,within-subtype,2a,2a,dog,tail,flashlight,bulb,5,6184
8,4,between-type,2f,7d,tree,root,brush,teeth,6,16117
8,5,between-subtype,2g,2j,cocktail,alcohol,butterfly,cocoon,5,85141
8,6,between-subtype,9h,9f,text,index,birthday,celebration,6,11305
8,7,between-type,6b,4e,incomprehensible,understood,tedious,interesting,5,77226
8,8,within-subtype,9d,9d,laboratory,reagents,kitchen,oven,6,64030
8,9,between-subtype,9c,9d,bar,drinking,sew,needle,5,13234
8,10,within-subtype,2h,2h,mother,children,words,letters,5,34870
8,11,attention check,,,coincidence,,knowledgeable,,1,18759
8,12,between-subtype,9e,9a,ditch,road,cupboard,dishes,3,45562
8,13,between-subtype,8a,8g,sweating,odor,shovel,dig,5,9873
8,14,within-subtype,7a,7a,poet,words,blacksmith,iron,7,4413
8,15,within-subtype,7f,7f,gift,recipient,award,winner,6,10053
8,16,between-subtype,8f,8g,fire,warmth,knife,cut,5,10807
8,17,between-subtype,7a,7h,artist,paint,insured,policy,7,11238
8,18,between-subtype,1b,1e,clothing,sock,ocean,Indian,3,10985
8,19,within-subtype,4h,4h,pimple,skin,miscarriage,pregnancy,6,13208
8,20,within-subtype,3a,3a,pants,trousers,boat,ship,7,101109
8,21,between-subtype,8d,8b,bathe,clean,dirty,bathe,5,17281
8,22,attention check,,,anthropologist,,anthropologist,,7,7050
