sub_num,trial_num,trial_type,wordA,wordB,wordC,wordD,rating,RT
6,18,attention check,one,two,three,four,7,4342
7,1,real,mother,baby,frog,tadpole,7,13601
7,2,real,password,access,key,safe,4,28425
7,3,real,foot,shoe,wall,painting,2,26735
7,4,filler,class,student,child,adult,1,12276
7,5,real,brain,neuron,computer,chip,7,8071
7,6,real,person,clothes,cat,whiskers,2,9618
7,7,real,cocoon,butterfly,egg,chicken,6,12035
7,8,filler,beverage,water,deceit,truth,1,8044
7,9,attention check,one,two,three,four,7,11713
7,10,real,snail,shell,rabbit,burrow,7,9827
7,11,real,wedding,bride,aquarium,fish,6,12410
7,12,real,hat,head,disguise,identity,6,18167
7,13,filler,slavery,freedom,movie,scene,1,11684
7,14,real,lawyer,books,librarian,books,6,19365
7,15,real,flock,bird,hive,bee,7,6094
7,16,real,dog,mailman,cat,mouse,7,9767
7,17,filler,mall,shops,widow,husband,1,7270
7,18,attention check,one,two,three,zero,1,6863
8,1,real,student,backpack,rabbit,burrow,7,9275
8,2,real,nurse,patient,mother,baby,7,46082
8,3,real,flock,bird,hive,bee,7,8356
8,4,real,chemist,beakers,librarian,books,6,11749
8,5,real,person,clothes,cat,whiskers,7,5463
8,6,filler,slavery,freedom,movie,scene,3,8929
8,7,real,foot,shoe,wrist,bracelet,7,7916
8,8,real,hat,head,mask,face,6,6482
8,9,attention check,one,two,three,zero,1,13421
8,10,real,aquarium,fish,carton,milk,7,5241
8,11,filler,beverage,water,deceit,truth,2,8143
8,12,real,cat,mouse,horse,hay,2,7240
8,13,real,password,access,key,safe,4,6907
8,14,filler,mall,shops,widow,husband,4,10977
8,15,filler,class,student,child,adult,7,6595
8,16,real,pride,lion,computer,chip,3,7420
8,17,real,cocoon,butterfly,wine,vineyard,7,11095
8,18,attention check,one,two,three,four,7,3187
9,1,real,aquarium,fish,carton,milk,3,14432
9,2,filler,slavery,freedom,movie,scene,1,10271
9,3,real,cocoon,butterfly,wine,vineyard,1,11286
9,4,filler,beverage,water,deceit,truth,1,12490
9,5,real,hat,head,disguise,identity,3,22145
9,6,real,foot,shoe,wrist,bracelet,6,16126
9,7,filler,mall,shops,widow,husband,1,8612
9,8,real,snail,shell,rabbit,burrow,5,10339
9,9,attention check,one,two,three,zero,2,21209
9,10,real,cat,mouse,horse,hay,6,10013
9,11,real,lawyer,books,chemist,beakers,5,14595
9,12,real,flock,bird,hangar,airplane,2,7582
9,13,filler,class,student,child,adult,1,8683
9,14,real,nurse,patient,mother,baby,7,10979
9,15,real,bird,feathers,cat,whiskers,3,14588
9,16,real,pride,lion,brain,neuron,3,10527
9,17,real,veil,face,key,safe,1,9211
9,18,attention check,one,two,three,four,7,12526
10,1,real,cocoon,butterfly,egg,chicken,6,12489
10,2,real,lawyer,books,librarian,books,4,6846
10,3,filler,mall,shops,widow,husband,1,6233
10,4,filler,slavery,freedom,movie,scene,1,5048
10,5,real,wrist,bracelet,wall,painting,6,7368
10,6,real,dog,mailman,horse,hay,5,4662
10,7,filler,class,student,child,adult,2,9133
10,8,real,flock,bird,hive,bee,7,5192
10,9,attention check,one,two,three,zero,1,5919
10,10,real,snail,shell,rabbit,burrow,6,9452
10,11,real,pride,lion,brain,neuron,2,6986
10,12,real,mother,baby,frog,tadpole,7,4616
10,13,real,wedding,bride,carton,milk,5,6112
10,14,filler,beverage,water,deceit,truth,1,4450
10,15,real,person,clothes,cat,whiskers,5,5990
10,16,real,veil,face,password,access,2,4511
10,17,real,mask,face,disguise,identity,5,6239
10,18,attention check,one,two,three,four,7,3044
11,1,real,wedding,bride,aquarium,fish,4,10348
11,2,filler,beverage,water,deceit,truth,1,4350
11,3,real,brain,neuron,computer,chip,7,3038
11,4,real,password,access,key,safe,3,5433
11,5,real,foot,shoe,wall,painting,5,3791
11,6,real,student,backpack,rabbit,burrow,2,4130
11,7,filler,class,student,child,adult,4,5817
11,8,real,lawyer,books,chemist,beakers,7,4281
11,9,attention check,one,two,three,zero,1,4232
11,10,real,egg,chicken,wine,vineyard,7,4288
11,11,real,nurse,patient,frog,tadpole,3,5637
11,12,real,dog,mailman,cat,mouse,6,3731
11,13,real,hat,head,disguise,identity,3,3800
11,14,filler,slavery,freedom,movie,scene,3,4884
11,15,filler,mall,shops,widow,husband,3,6098
11,16,real,person,clothes,bird,feathers,7,2469
11,17,real,hive,bee,hangar,airplane,6,2388
11,18,attention check,one,two,three,four,7,2772
12,1,real,foot,shoe,wall,painting,1,19046
12,2,filler,mall,shops,widow,husband,1,6825
12,3,filler,beverage,water,deceit,truth,1,10706
12,4,real,nurse,patient,frog,tadpole,5,8390
12,5,filler,slavery,freedom,movie,scene,1,5522
12,6,filler,class,student,child,adult,6,4903
12,7,real,egg,chicken,wine,vineyard,6,7485
